ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.698061,191,0.105839,0.730765,-0.035825,0.060912,-0.414617,0.124799
4.719471,192,-0.060758,0.060718,-0.150957,0.010785,-0.395166,0.131613
4.742412,193,-0.058272,-0.113890,-0.254027,-0.016442,-0.370966,0.115943
4.764031,194,0.002448,-0.165368,-0.195611,-0.014445,-0.343515,0.102396
4.786228,195,-0.057558,0.174369,-0.087270,-0.012425,-0.321145,0.110154
4.810492,196,0.035337,0.287643,-0.028485,-0.024154,-0.291285,0.142262
4.830347,197,-0.006758,-0.031241,-0.153302,-0.038014,-0.264822,0.174569
4.852695,198,-0.090053,-0.139777,-0.006926,-0.034662,-0.242829,0.206469
4.875331,199,-0.057975,0.184470,0.021914,-0.022411,-0.228327,0.248918
4.897534,200,-0.182627,0.150707,0.100242,-0.031188,-0.225787,0.278880
4.919558,201,-0.206944,-0.029133,-0.053801,-0.042495,-0.227020,0.279258
4.941936,202,-0.102619,0.005466,-0.019536,-0.048921,-0.232180,0.283763
4.963943,203,-0.216189,0.122880,0.091162,-0.057176,-0.239638,0.304056
4.986481,204,-0.235210,-0.165670,0.042520,-0.060516,-0.259224,0.324078
5.008716,205,-0.107392,-0.198191,0.021141,-0.061137,-0.279800,0.321327
5.077414,206,0.003900,-0.022271,0.004350,-0.058762,-0.292770,0.318410
5.097772,207,1.733030,-1.729945,-0.545231,0.026493,-0.268271,0.151208
5.119845,208,1.912802,-0.468602,-0.582811,0.066296,-0.195910,0.054060
5.142253,209,2.268980,-0.159088,-0.804373,0.104489,-0.035676,-0.061764
5.164245,210,1.607129,0.039637,-0.593793,0.140813,0.172025,-0.114673
5.186461,211,1.408129,0.159523,-0.553695,0.151749,0.366981,-0.166871
5.208584,212,3.446889,0.981061,-1.656469,0.090266,0.600696,-0.364384
5.230909,213,4.183541,0.773555,-2.161966,0.003047,0.965506,-0.535285
5.253383,214,2.783178,-0.199711,-2.352283,-0.041841,1.412032,-0.590917
5.275815,215,2.492416,-0.106078,-2.606027,-0.065762,1.834362,-0.706289
5.297922,216,2.495824,0.453916,-2.926483,-0.144020,2.277038,-0.898315
5.319792,217,0.706181,-0.831914,-2.842807,-0.190910,2.675186,-1.009613
5.342359,218,-1.232800,-1.336421,-1.554390,-0.156205,2.939669,-1.055692
5.364223,219,-1.650443,-0.625876,-0.808751,-0.101236,3.034011,-1.098883
5.386382,220,-1.393628,-0.420680,-0.341918,-0.066894,3.006691,-1.128910
5.408674,221,-1.717311,-0.400424,0.441160,-0.037068,2.906522,-1.121616
5.430898,222,-1.944793,-0.289981,1.192269,0.005275,2.713533,-1.045400
5.453124,223,-1.764963,-0.063257,2.007878,0.044497,2.445371,-0.950049
